,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
9:00 AM,,,,,,,
9:30 AM,,,,,,,
10:00 AM,,,,,,,
10:30 AM,,,,,,,
11:00 AM,,,,,,,
11:30 AM,,,,,,,
12:00 PM,Morewood,,,,,,Morewood
12:30 PM,Morewood,,,,,,Morewood
1:00 PM,Morewood,,,,,,Morewood
1:30 PM,Morewood,,,,,,Morewood
2:00 PM,Morewood,,,,,,Morewood
2:30 PM,Morewood,,,,,,Morewood
3:00 PM,Morewood,,,,,,
3:30 PM,Morewood,,,,,,
4:00 PM,,,,,,,
4:30 PM,,,,,,,
5:00 PM,,,,,,,Morewood
5:30 PM,,,,,,,Morewood
6:00 PM,,Morewood,,,,,
6:30 PM,,Morewood,,,,,
7:00 PM,,Morewood,,,,,
7:30 PM,,Morewood,,,,,
8:00 PM,,,,,,,
8:30 PM,,,,Morewood,,,
9:00 PM,,,,Morewood,,,
9:30 PM,,,,,,,
10:00 PM,,Morewood,,,Morewood,,
10:30 PM,Morewood,Morewood,Morewood,,Morewood,,
11:00 PM,Morewood,Morewood,Morewood,,Morewood,,
11:30 PM,Morewood,Morewood,Morewood,,Morewood,,
12:00 AM,,,,,,,
12:30 AM,,,,,,,
1:00 AM,,,,,,,